RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11200,성동구,10400,도선동,1,대지,0014,0000,신한넥스텔,2025-03-12,9700,19.629,26.0765,14.0,,,1998,오피스텔,중개거래,서울 성동구
2025,11650,서초구,10800,서초동,1,대지,1338,0008,강남역파라디아골드,2025-03-12,18000,20.16,30.197,16.0,,,2017,오피스텔,중개거래,서울 서초구
2025,11560,영등포구,13200,신길동,1,대지,4950,0000,래미안에스티움,2025-03-12,155000,84.97,0.0,26.0,,,2017,아파트,중개거래,서울 영등포구
2025,11680,강남구,10100,역삼동,1,대지,0736,0024,엘지역삼에클라트,2025-03-12,25500,36.24,50.62,4.0,,,2004,오피스텔,중개거래,"서울 강남구, 세종"
2025,11410,서대문구,11700,연희동,1,대지,0708,0004,홍연,2025-03-12,45000,52.23,0.0,4.0,,,1981,아파트,중개거래,"서울 서대문구, 서울 은평구"
2025,11110,종로구,18300,평창동,1,대지,0096,0000,경남평창빌라,2025-03-12,48000,79.86,84.0,1.0,,,1988,연립다세대,직거래,
2025,11500,강서구,10200,등촌동,1,대지,0702,0000,주공10,2025-03-12,57000,58.14,0.0,10.0,,,1995,아파트,직거래,
2025,11500,강서구,10300,화곡동,1,대지,0341,0042,인터시티빌라(341-42),2025-03-12,8000,38.66,18.0,-1.0,,,2000,연립다세대,직거래,
2025,11305,강북구,10100,미아동,1,대지,0791,2703,상록캐스빌,2025-03-12,27500,55.57,35.0,5.0,,,2017,연립다세대,직거래,
2025,11740,강동구,10100,명일동,1,대지,0046,0003,고덕역 대명벨리온,2025-03-12,18000,21.312,32.041,7.0,,,2021,오피스텔,중개거래,서울 강동구
2025,11470,양천구,10200,목동,1,대지,0796,0001,페르하임,2025-03-12,24444,29.32,14.0,2.0,,,2020,연립다세대,직거래,
2025,11470,양천구,10100,신정동,1,대지,0329,0000,목동신시가지14,2025-03-12,266000,157.59,0.0,15.0,,,1987,아파트,중개거래,서울 양천구
2025,11380,은평구,10400,갈현동,1,대지,0434,0025,(434-25),2025-03-11,9900,35.0,24.0,-1.0,,,1986,연립다세대,중개거래,서울 은평구
2025,11305,강북구,10100,미아동,1,대지,0330,0035,삼성레드빌(A동),2025-03-11,29550,58.55,34.0,4.0,,,2016,연립다세대,직거래,
2025,11200,성동구,12200,용답동,1,대지,0121,0000,청계 SK VIEW,2025-03-11,94283,59.81,0.0,28.0,분양권,,0,아파트,직거래,
2025,11500,강서구,10300,화곡동,1,대지,0371,0086,연희파크빌(371-86),2025-03-11,11000,24.27,14.0,6.0,,,2015,연립다세대,중개거래,서울 강서구
2025,11320,도봉구,10500,쌍문동,1,대지,0713,0000,에덴,2025-03-11,39000,67.404,0.0,3.0,,,2001,아파트,중개거래,서울 도봉구
2025,11530,구로구,10200,구로동,1,대지,1132,0029,다온쉐르빌,2025-03-11,22500,32.69,17.0,3.0,,,2016,연립다세대,중개거래,서울 관악구
2025,11320,도봉구,10600,방학동,1,대지,0719,0002,북한산현대렉시온오피스텔,2025-03-11,12500,26.4,34.42,8.0,,,2004,오피스텔,중개거래,서울 도봉구
2025,11410,서대문구,11700,연희동,1,대지,0537,0110,골드클래스,2025-03-11,24500,54.18,24.0,4.0,,,2011,연립다세대,직거래,
2025,11380,은평구,10400,갈현동,1,대지,0496,0007,수연빌라,2025-03-11,13000,39.04,23.0,3.0,,,2003,연립다세대,중개거래,서울 은평구
2025,11500,강서구,10300,화곡동,1,대지,0024,0099,(24-99),2025-03-11,9200,30.19,36.93,4.0,,,1997,오피스텔,직거래,
2025,11500,강서구,10300,화곡동,1,대지,1059,0023,상은쉐르빌,2025-03-11,23000,61.32,28.0,1.0,,,2002,연립다세대,직거래,
2025,11290,성북구,10300,돈암동,1,대지,0636,0000,이수브라운스톤돈암,2025-03-11,72500,59.99,0.0,15.0,,,2004,아파트,중개거래,서울 성북구
2025,11290,성북구,13400,길음동,1,대지,1276,0000,삼부컨비니언,2025-03-11,59800,59.94,0.0,8.0,,,1998,아파트,중개거래,서울 성북구
2025,11500,강서구,10500,마곡동,1,대지,0773,0003,힐스테이트에코동익,2025-03-11,22000,24.57,35.004,4.0,,,2017,오피스텔,중개거래,서울 중구
2025,11740,강동구,10700,암사동,1,대지,0422,0026,암사e편한세상,2025-03-11,98500,84.96,0.0,9.0,,,2005,아파트,중개거래,서울 강동구
2025,11620,관악구,10100,봉천동,1,대지,1614,0010,(1614-10),2025-03-11,22000,43.46,18.0,3.0,,,1991,연립다세대,중개거래,서울 관악구
2025,11740,강동구,10900,천호동,1,대지,0414,0000,두산위브센티움,2025-03-11,15700,31.37,44.64,20.0,,,2004,오피스텔,중개거래,서울 강동구
2025,11215,광진구,10100,중곡동,1,대지,0075,0018,올리브벨리,2025-03-11,23000,38.94,30.0,5.0,,,2015,연립다세대,중개거래,서울 광진구
2025,11290,성북구,13800,장위동,1,대지,0219,0261,(219-261),2025-03-11,23000,53.05,28.0,3.0,,,1992,연립다세대,중개거래,서울 성북구
2025,11470,양천구,10100,신정동,1,대지,0329,0000,목동신시가지14,2025-03-11,185000,83.89,0.0,13.0,,,1987,아파트,중개거래,서울 양천구
2025,11110,종로구,18200,구기동,,,,,,2025-03-11,58000,56.86,76.0,0.0,,,1981,단독다가구,중개거래,서울 용산구
2025,11740,강동구,10500,길동,1,대지,0112,0002,승진하이츠빌,2025-03-11,26200,38.73,22.0,4.0,,,2011,연립다세대,중개거래,서울 강동구
2025,11620,관악구,10100,봉천동,1,대지,1717,0000,관악푸르지오,2025-03-11,99000,84.75,0.0,12.0,,,2004,아파트,중개거래,서울 관악구
2025,11260,중랑구,10100,면목동,,,,,,2025-03-11,55000,131.8,71.0,0.0,,,1992,단독다가구,중개거래,서울 노원구
2025,11350,노원구,10200,월계동,1,대지,0922,0000,서광,2025-03-11,58650,59.96,0.0,9.0,,,1994,아파트,중개거래,서울 노원구
2025,11350,노원구,10500,상계동,1,대지,1320,0000,미라보(성림),2025-03-11,47000,84.5,0.0,4.0,,,2006,아파트,중개거래,서울 노원구
2025,11320,도봉구,10600,방학동,1,대지,0741,0000,성진파크뷰아파트,2025-03-11,35000,45.51,0.0,12.0,,,2019,아파트,중개거래,서울 노원구
2025,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,2025-03-11,140000,53.82,0.0,2.0,,,1987,아파트,중개거래,서울 양천구
2025,11380,은평구,10800,역촌동,1,대지,0080,0030,현대그린빌라,2025-03-11,20800,56.88,24.0,3.0,,,1993,연립다세대,중개거래,서울 은평구
2025,11380,은평구,10300,불광동,1,대지,0481,0001,천일빌라,2025-03-11,20000,33.03,29.0,-1.0,,,1988,연립다세대,중개거래,서울 은평구
2025,11215,광진구,10400,광장동,1,대지,0339,0003,유니빌Ⅲ,2025-03-11,25500,38.59,23.0,5.0,,,2016,연립다세대,중개거래,서울 광진구
2025,11110,종로구,17500,숭인동,1,대지,0318,0002,삼전솔하임4차,2025-03-11,11500,19.17,29.35,9.0,,,2014,오피스텔,중개거래,서울 종로구
2025,11545,금천구,10200,독산동,1,대지,0378,0131,스위트하우스,2025-03-11,19800,28.48,18.0,3.0,,,2018,연립다세대,중개거래,서울 금천구
2025,11740,강동구,10900,천호동,1,대지,0566,0000,천호태영아파트,2025-03-11,94000,84.88,0.0,2.0,,,1999,아파트,중개거래,서울 강동구
2025,11680,강남구,11100,세곡동,1,대지,0533,0000,세곡푸르지오,2025-03-11,145000,74.74,0.0,11.0,,,2012,아파트,중개거래,서울 강남구
2025,11380,은평구,10900,신사동,1,대지,0035,0015,(35-15),2025-03-11,8000,37.36,26.0,-1.0,,,1986,연립다세대,직거래,
2025,11620,관악구,10200,신림동,1,대지,1656,0000,라이프미성,2025-03-11,54000,91.24,0.0,7.0,,,1982,아파트,직거래,
2025,11620,관악구,10200,신림동,,,,,,2025-03-11,50000,223.08,165.0,0.0,,,1988,단독다가구,중개거래,서울 관악구
2025,11215,광진구,10700,화양동,1,대지,0021,0020,광진캠퍼스시티,2025-03-11,14000,16.083,26.414,15.0,,,2017,오피스텔,중개거래,서울 광진구
2025,11740,강동구,10500,길동,1,대지,0053,0000,삼익파크맨션,2025-03-11,90000,62.91,0.0,5.0,,,1982,아파트,중개거래,서울 강동구
2025,11215,광진구,10500,자양동,1,대지,0686,0005,대교빌라,2025-03-11,88194,36.96,30.0,2.0,,,1990,연립다세대,직거래,
2025,11410,서대문구,10100,충정로2가,1,대지,0192,0000,서대문 디오빌 오피스텔,2025-03-11,18700,25.35,34.65,16.0,,,2009,오피스텔,중개거래,서울 서대문구
2025,11380,은평구,10700,응암동,1,대지,0714,0000,경남,2025-03-11,40000,59.36,0.0,6.0,,,1995,아파트,중개거래,서울 서대문구
2025,11200,성동구,10200,하왕십리동,1,대지,1066,0000,텐즈힐(1단지),2025-03-11,212000,129.34,0.0,10.0,,20250311,2015,아파트,중개거래,"서울 동대문구, 서울 성동구"
2025,11530,구로구,10900,궁동,1,대지,0282,0010,청솔빌라(282-10),2025-03-11,14000,53.55,27.0,4.0,,,1996,연립다세대,직거래,
2025,11200,성동구,10300,홍익동,1,대지,0146,0001,비앤리베스텔,2025-03-10,14000,16.74,24.55,5.0,,,2018,오피스텔,직거래,
2025,11260,중랑구,10600,신내동,1,대지,0437,0000,벽산,2025-03-10,46500,59.783,0.0,4.0,,,2000,아파트,중개거래,서울 중랑구
2025,11530,구로구,10200,구로동,1,대지,0103,0011,한솔로이젠트,2025-03-10,12600,29.4,37.43,9.0,,,2006,오피스텔,중개거래,서울 구로구
2025,11470,양천구,10100,신정동,1,대지,1283,0000,푸른마을3,2025-03-10,58400,59.99,0.0,11.0,,,2001,아파트,중개거래,서울 양천구
2025,11215,광진구,10100,중곡동,1,대지,0648,0014,아지(AZ)0213,2025-03-10,12000,20.64,29.1582,7.0,,,2015,오피스텔,직거래,
2025,11620,관악구,10200,신림동,1,대지,0610,0021,보명빌라,2025-03-10,19000,40.6,26.0,1.0,,,1994,연립다세대,중개거래,서울 관악구
2025,11380,은평구,10500,구산동,1,대지,0022,0034,금성한우리(22-34),2025-03-10,34000,47.71,29.0,2.0,,,2015,연립다세대,중개거래,서울 은평구
2025,11740,강동구,10900,천호동,1,대지,0449,0049,힐탑프라자,2025-03-10,9000,20.48,24.26,15.0,,,1994,오피스텔,중개거래,서울 강동구
2025,11200,성동구,10900,금호동1가,1,대지,1823,0000,e편한세상신금호파크힐스,2025-03-10,164000,59.949,0.0,11.0,,,2019,아파트,중개거래,"경기 수원시 영통구, 서울 성동구"
2025,11305,강북구,10300,수유동,1,대지,0286,0015,클라인하우스,2025-03-10,17500,38.0,25.0,4.0,,,2008,연립다세대,중개거래,서울 강북구
2025,11500,강서구,10500,마곡동,1,대지,0744,0000,마곡엠밸리9단지,2025-03-10,110000,59.86,0.0,1.0,,20250310,2021,아파트,중개거래,서울 강서구
2025,11305,강북구,10300,수유동,1,대지,0052,0090,해성빌라트8차,2025-03-10,29500,68.49,30.0,3.0,,,2003,연립다세대,중개거래,서울 강북구
2025,11740,강동구,10800,성내동,1,대지,0411,0010,대지빌라,2025-03-10,26200,54.06,23.0,4.0,,,1993,연립다세대,중개거래,서울 강동구
2025,11530,구로구,10600,고척동,1,대지,0337,0000,한일유앤아이,2025-03-10,65000,114.79,0.0,6.0,,,2005,아파트,중개거래,서울 구로구
2025,11230,동대문구,10600,장안동,1,대지,0095,0001,장안현대,2025-03-10,68000,95.45,0.0,10.0,,,1984,아파트,중개거래,서울 동대문구
2025,11470,양천구,10200,목동,1,대지,0911,0000,목동신시가지6,2025-03-10,193000,65.1,0.0,10.0,,,1986,아파트,중개거래,서울 양천구
2025,11230,동대문구,10600,장안동,1,대지,0381,0001,우민에뜨와르오피스텔,2025-03-10,13000,32.85,63.32,11.0,,,2009,오피스텔,직거래,
2025,11290,성북구,13800,장위동,,,,,,2025-03-10,20000,49.29,86.0,0.0,,,1971,단독다가구,직거래,
2025,11380,은평구,10500,구산동,1,대지,0014,0032,예림빌라9차,2025-03-10,18000,28.65,19.0,6.0,,,2012,연립다세대,중개거래,"경기 고양시 덕양구, 서울 은평구"
2025,11740,강동구,10900,천호동,1,대지,0425,0003,천호역 한강 푸르지오시티,2025-03-10,19000,27.44,39.04,12.0,,,2015,오피스텔,중개거래,서울 강동구
2025,11320,도봉구,10700,창동,1,대지,0596,0031,"신도부테크(102,103동)",2025-03-10,22500,59.8,33.0,4.0,,,2011,연립다세대,중개거래,서울 도봉구
2025,11290,성북구,13300,정릉동,,,,,,2025-03-10,31000,58.51,105.0,0.0,,,1966,단독다가구,직거래,
2025,11440,마포구,10200,공덕동,1,대지,0475,0000,공덕푸르지오시티,2025-03-10,23900,27.743,35.523,13.0,,,2013,오피스텔,중개거래,서울 마포구
2025,11470,양천구,10100,신정동,1,대지,0327,0000,목동신시가지13,2025-03-10,164000,70.73,0.0,12.0,,,1987,아파트,중개거래,서울 양천구
2025,11410,서대문구,11700,연희동,1,대지,0708,0004,홍연,2025-03-10,33000,52.23,0.0,4.0,,,1981,아파트,중개거래,서울 서대문구
2025,11590,동작구,10200,상도동,1,대지,0415,0000,중앙하이츠빌,2025-03-10,109000,84.988,0.0,6.0,,,2003,아파트,중개거래,서울 동작구
2025,11530,구로구,10200,구로동,1,대지,0685,0070,현대연예인,2025-03-10,65800,84.91,0.0,12.0,,20250311,1989,아파트,중개거래,서울 구로구
2025,11200,성동구,11500,성수동2가,1,대지,0834,0000,현대I-PARK,2025-03-10,171000,116.22,0.0,18.0,,,2003,아파트,중개거래,서울 성동구
2025,11740,강동구,10600,둔촌동,1,대지,0052,0003,리라빌라,2025-03-10,28000,43.04,30.0,2.0,,,1990,연립다세대,중개거래,서울 강동구
2025,11200,성동구,11200,금호동4가,1,대지,0340,0000,서울숲푸르지오,2025-03-10,147000,59.9,0.0,9.0,,,2007,아파트,중개거래,서울 성동구
2025,11350,노원구,10200,월계동,1,대지,0013,0000,삼호3,2025-03-10,57500,59.22,0.0,7.0,,,1986,아파트,직거래,
2025,11470,양천구,10300,신월동,1,대지,0052,0013,(52-13),2025-03-10,30600,27.81,34.77,4.0,,,2022,오피스텔,직거래,
2025,11500,강서구,10300,화곡동,1,대지,0372,0048,보성빌라,2025-03-10,22900,62.35,28.0,1.0,,,2002,연립다세대,중개거래,서울 강서구
2025,11350,노원구,10300,공릉동,1,대지,0081,0000,태강아파트(아이파크),2025-03-10,51000,49.6,0.0,11.0,,,1999,아파트,중개거래,서울 노원구
2025,11500,강서구,10300,화곡동,1,대지,0402,0004,(402-4),2025-03-10,19000,52.8,74.43,2.0,,,2000,오피스텔,중개거래,서울 강서구
2025,11590,동작구,10700,사당동,1,대지,0105,0000,사당우성2,2025-03-10,144000,118.25,0.0,15.0,,,1993,아파트,중개거래,"서울 동작구, 서울 서초구"
2025,11620,관악구,10200,신림동,1,대지,1421,0029,에스케이허브그린,2025-03-10,15900,26.62,36.97,5.0,,,2004,오피스텔,중개거래,서울 관악구
2025,11380,은평구,10700,응암동,1,대지,0111,0061,백명 TRENDY,2025-03-10,13000,37.835,45.502,8.0,,,2003,오피스텔,중개거래,서울 은평구
2025,11215,광진구,10400,광장동,1,대지,0577,0000,현대파크빌,2025-03-10,134800,59.76,0.0,22.0,,20250311,2000,아파트,중개거래,서울 광진구
2025,11740,강동구,10800,성내동,1,대지,0601,0000,하나플러스ll,2025-03-10,95000,84.99,0.0,5.0,,,2004,아파트,중개거래,서울 강동구
2025,11500,강서구,10300,화곡동,1,대지,1159,0000,"우장산아이파크,이편한세상",2025-03-10,109000,59.98,0.0,13.0,,,2008,아파트,중개거래,서울 강서구
2025,11620,관악구,10100,봉천동,1,대지,1717,0000,관악푸르지오,2025-03-10,79000,59.58,0.0,10.0,,,2004,아파트,중개거래,서울 관악구
2025,11650,서초구,10800,서초동,1,대지,1302,0001,서초오피스텔,2025-03-10,27000,21.78,39.55,6.0,,,1988,오피스텔,중개거래,서울 서초구
2025,11290,성북구,10200,성북동1가,1,대지,0035,0022,휴아름스튜디오,2025-03-10,17300,13.57,0.0,10.0,,,2015,아파트,중개거래,서울 성북구
2025,11710,송파구,11100,방이동,1,대지,0043,0000,대명벨리온,2025-03-10,16800,17.32,28.105,17.0,,,null,오피스텔,중개거래,서울 송파구
2025,11740,강동구,10900,천호동,1,대지,0432,0010,쌍용플래티넘리버,2025-03-10,19500,34.2,46.65,11.0,,,2004,오피스텔,중개거래,서울 강동구
2025,11200,성동구,10800,응봉동,1,대지,0098,0000,금호현대,2025-03-10,90000,59.91,0.0,8.0,,,1990,아파트,중개거래,서울 성동구
2025,11650,서초구,10800,서초동,1,대지,1509,0001,서초한빛삼성,2025-03-10,176000,99.09,0.0,7.0,,,1999,아파트,중개거래,"서울 서초구, 서울 용산구"
2025,11350,노원구,10500,상계동,1,대지,1251,0000,노원우성,2025-03-10,64000,84.88,0.0,5.0,,,1992,아파트,중개거래,서울 노원구
